sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,1079688,200300,1279988,03/20/2023,2022
Communic/Electronics,B,1105429,281000,1386429,03/20/2023,2022
Construction,C,1885778,130000,2015778,03/20/2023,2022
Defense,D,258219,128500,386719,03/20/2023,2022
Energy/Nat Resource,E,780413,197600,978013,03/20/2023,2022
Finance/Insur/RealEst,F,6576718,359600,6936318,03/20/2023,2022
Health,H,2998865,186200,3185065,03/20/2023,2022
Lawyers & Lobbyists,K,2306701,128000,2434701,03/20/2023,2022
Transportation,M,1086878,211095,1297973,03/20/2023,2022
Misc Business,N,3088347,346400,3434747,03/20/2023,2022
Labor,P,16608,25700,42308,03/20/2023,2022
Ideology/Single-Issue,Q,3786994,741351,4528345,03/20/2023,2022
Other,W,30576621,1000,30577621,03/20/2023,2022
