sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,31972,3000,34972,03/20/2023,2022
Communic/Electronics,B,147792,19000,166792,03/20/2023,2022
Construction,C,94788,5500,100288,03/20/2023,2022
Energy/Nat Resource,E,20588,7500,28088,03/20/2023,2022
Finance/Insur/RealEst,F,1162224,218000,1380224,03/20/2023,2022
Health,H,118712,15000,133712,03/20/2023,2022
Lawyers & Lobbyists,K,223214,9000,232214,03/20/2023,2022
Transportation,M,16062,5000,21062,03/20/2023,2022
Misc Business,N,199189,11000,210189,03/20/2023,2022
Labor,P,900,58000,58900,03/20/2023,2022
Ideology/Single-Issue,Q,372879,151600,524479,03/20/2023,2022
Other,W,400718,1000,401718,03/20/2023,2022
