sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,26850,48100,74950,03/20/2023,2022
Communic/Electronics,B,13400,13000,26400,03/20/2023,2022
Construction,C,17750,20000,37750,03/20/2023,2022
Defense,D,0,1000,1000,03/20/2023,2022
Energy/Nat Resource,E,31700,45500,77200,03/20/2023,2022
Finance/Insur/RealEst,F,81450,204000,285450,03/20/2023,2022
Health,H,12750,29000,41750,03/20/2023,2022
Lawyers & Lobbyists,K,30700,1500,32200,03/20/2023,2022
Transportation,M,19400,30000,49400,03/20/2023,2022
Misc Business,N,37600,40500,78100,03/20/2023,2022
Ideology/Single-Issue,Q,21507,113034,134541,03/20/2023,2022
Other,W,42105,0,42105,03/20/2023,2022
