sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,72228,159750,231978,03/20/2023,2022
Communic/Electronics,B,48754,21500,70254,03/20/2023,2022
Construction,C,35500,20000,55500,03/20/2023,2022
Defense,D,3266,0,3266,03/20/2023,2022
Energy/Nat Resource,E,28014,32000,60014,03/20/2023,2022
Finance/Insur/RealEst,F,203653,37500,241153,03/20/2023,2022
Health,H,27078,8000,35078,03/20/2023,2022
Lawyers & Lobbyists,K,37007,0,37007,03/20/2023,2022
Transportation,M,52631,24000,76631,03/20/2023,2022
Misc Business,N,80112,23000,103112,03/20/2023,2022
Labor,P,0,4000,4000,03/20/2023,2022
Ideology/Single-Issue,Q,108382,115150,223532,03/20/2023,2022
Other,W,227851,0,227851,03/20/2023,2022
