sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,24235,73000,97235,03/20/2023,2022
Communic/Electronics,B,134226,113140,247366,03/20/2023,2022
Construction,C,20488,0,20488,03/20/2023,2022
Defense,D,3806,35500,39306,03/20/2023,2022
Energy/Nat Resource,E,16300,27500,43800,03/20/2023,2022
Finance/Insur/RealEst,F,306836,260500,567336,03/20/2023,2022
Health,H,151339,362500,513839,03/20/2023,2022
Lawyers & Lobbyists,K,197036,24000,221036,03/20/2023,2022
Transportation,M,7983,36500,44483,03/20/2023,2022
Misc Business,N,145886,87500,233386,03/20/2023,2022
Labor,P,350,223500,223850,03/20/2023,2022
Ideology/Single-Issue,Q,214440,438999,653439,03/20/2023,2022
Other,W,756355,2000,758355,03/20/2023,2022
