sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,605116,24500,629616,03/20/2023,2022
Communic/Electronics,B,11900,3000,14900,03/20/2023,2022
Construction,C,45695,5000,50695,03/20/2023,2022
Defense,D,2800,1000,3800,03/20/2023,2022
Energy/Nat Resource,E,17819,2000,19819,03/20/2023,2022
Finance/Insur/RealEst,F,233816,6000,239816,03/20/2023,2022
Health,H,14510,0,14510,03/20/2023,2022
Lawyers & Lobbyists,K,22968,0,22968,03/20/2023,2022
Transportation,M,16778,7500,24278,03/20/2023,2022
Misc Business,N,151461,5500,156961,03/20/2023,2022
Ideology/Single-Issue,Q,11259,207750,219009,03/20/2023,2022
Other,W,149838,0,149838,03/20/2023,2022
