sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,529022,112000,641022,03/20/2023,2022
Communic/Electronics,B,304694,79500,384194,03/20/2023,2022
Construction,C,458964,42500,501464,03/20/2023,2022
Defense,D,31424,74500,105924,03/20/2023,2022
Energy/Nat Resource,E,647499,252000,899499,03/20/2023,2022
Finance/Insur/RealEst,F,2290788,380300,2671088,03/20/2023,2022
Health,H,650534,378400,1028934,03/20/2023,2022
Lawyers & Lobbyists,K,772492,16500,788992,03/20/2023,2022
Transportation,M,300962,149000,449962,03/20/2023,2022
Misc Business,N,841234,171400,1012634,03/20/2023,2022
Labor,P,2306,20000,22306,03/20/2023,2022
Ideology/Single-Issue,Q,1362393,73735,1436128,03/20/2023,2022
Other,W,7632355,4500,7636855,03/20/2023,2022
