sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,461564,511300,972864,03/20/2023,2022
Communic/Electronics,B,106030,105600,211630,03/20/2023,2022
Construction,C,283162,108500,391662,03/20/2023,2022
Defense,D,104613,164500,269113,03/20/2023,2022
Energy/Nat Resource,E,329654,291500,621154,03/20/2023,2022
Finance/Insur/RealEst,F,756609,283089,1039698,03/20/2023,2022
Health,H,191585,177800,369385,03/20/2023,2022
Lawyers & Lobbyists,K,363326,118558,481884,03/20/2023,2022
Transportation,M,174022,179642,353664,03/20/2023,2022
Misc Business,N,393235,210500,603735,03/20/2023,2022
Labor,P,0,19000,19000,03/20/2023,2022
Ideology/Single-Issue,Q,320049,755593,1075642,03/20/2023,2022
Other,W,940489,5000,945489,03/20/2023,2022
