sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,14700,11008,25708,03/20/2023,2022
Communic/Electronics,B,16575,6000,22575,03/20/2023,2022
Construction,C,23550,8500,32050,03/20/2023,2022
Defense,D,0,2500,2500,03/20/2023,2022
Energy/Nat Resource,E,32812,5000,37812,03/20/2023,2022
Finance/Insur/RealEst,F,102250,28800,131050,03/20/2023,2022
Health,H,38550,34000,72550,03/20/2023,2022
Lawyers & Lobbyists,K,63700,1000,64700,03/20/2023,2022
Transportation,M,26000,14000,40000,03/20/2023,2022
Misc Business,N,31023,3500,34523,03/20/2023,2022
Labor,P,0,1000,1000,03/20/2023,2022
Ideology/Single-Issue,Q,20100,82500,102600,03/20/2023,2022
Other,W,120023,0,120023,03/20/2023,2022
