sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,0,0,0,03/20/2023,2022
Communic/Electronics,B,0,2000,2000,03/20/2023,2022
Construction,C,2900,10000,12900,03/20/2023,2022
Defense,D,0,5000,5000,03/20/2023,2022
Energy/Nat Resource,E,12000,0,12000,03/20/2023,2022
Finance/Insur/RealEst,F,2900,7000,9900,03/20/2023,2022
Health,H,0,7500,7500,03/20/2023,2022
Lawyers & Lobbyists,K,2500,0,2500,03/20/2023,2022
Transportation,M,1000,9500,10500,03/20/2023,2022
Misc Business,N,6800,4000,10800,03/20/2023,2022
Ideology/Single-Issue,Q,22200,59000,81200,03/20/2023,2022
Other,W,2978,0,2978,03/20/2023,2022
