sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,86115,163900,250015,03/20/2023,2022
Communic/Electronics,B,78217,176200,254417,03/20/2023,2022
Construction,C,82649,115600,198249,03/20/2023,2022
Defense,D,5650,19000,24650,03/20/2023,2022
Energy/Nat Resource,E,153128,271583,424711,03/20/2023,2022
Finance/Insur/RealEst,F,1271203,1285200,2556403,03/20/2023,2022
Health,H,401257,540150,941407,03/20/2023,2022
Lawyers & Lobbyists,K,521625,90649,612274,03/20/2023,2022
Transportation,M,96908,139695,236603,03/20/2023,2022
Misc Business,N,207334,285530,492864,03/20/2023,2022
Labor,P,0,14500,14500,03/20/2023,2022
Ideology/Single-Issue,Q,200950,534277,735227,03/20/2023,2022
Other,W,201724,7500,209224,03/20/2023,2022
