sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,27360,-6000,21360,03/20/2023,2022
Communic/Electronics,B,41356,0,41356,03/20/2023,2022
Construction,C,60143,-2000,58143,03/20/2023,2022
Defense,D,4631,0,4631,03/20/2023,2022
Energy/Nat Resource,E,18321,0,18321,03/20/2023,2022
Finance/Insur/RealEst,F,151653,0,151653,03/20/2023,2022
Health,H,60717,0,60717,03/20/2023,2022
Lawyers & Lobbyists,K,14567,0,14567,03/20/2023,2022
Transportation,M,45736,0,45736,03/20/2023,2022
Misc Business,N,68011,0,68011,03/20/2023,2022
Labor,P,320,0,320,03/20/2023,2022
Ideology/Single-Issue,Q,866516,9250,875766,03/20/2023,2022
Other,W,732494,0,732494,03/20/2023,2022
