sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,5800,18000,23800,03/20/2023,2022
Communic/Electronics,B,5103,8000,13103,03/20/2023,2022
Construction,C,16788,14500,31288,03/20/2023,2022
Defense,D,3000,25500,28500,03/20/2023,2022
Energy/Nat Resource,E,3000,4500,7500,03/20/2023,2022
Finance/Insur/RealEst,F,31249,33500,64749,03/20/2023,2022
Health,H,54620,42500,97120,03/20/2023,2022
Lawyers & Lobbyists,K,39650,22000,61650,03/20/2023,2022
Transportation,M,2250,92000,94250,03/20/2023,2022
Misc Business,N,10741,25500,36241,03/20/2023,2022
Labor,P,250,149500,149750,03/20/2023,2022
Ideology/Single-Issue,Q,17547,34512,52059,03/20/2023,2022
Other,W,46371,1000,47371,03/20/2023,2022
