sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,55265,5000,60265,03/20/2023,2022
Communic/Electronics,B,52066,4000,56066,03/20/2023,2022
Construction,C,96826,5000,101826,03/20/2023,2022
Defense,D,3732,0,3732,03/20/2023,2022
Energy/Nat Resource,E,12430,2000,14430,03/20/2023,2022
Finance/Insur/RealEst,F,272776,27000,299776,03/20/2023,2022
Health,H,92246,0,92246,03/20/2023,2022
Lawyers & Lobbyists,K,61633,0,61633,03/20/2023,2022
Transportation,M,20694,7000,27694,03/20/2023,2022
Misc Business,N,93882,5500,99382,03/20/2023,2022
Labor,P,0,5000,5000,03/20/2023,2022
Ideology/Single-Issue,Q,135838,114299,250137,03/20/2023,2022
Other,W,704806,0,704806,03/20/2023,2022
