sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,130268,398750,529018,03/20/2023,2022
Communic/Electronics,B,51314,102660,153974,03/20/2023,2022
Construction,C,103117,54000,157117,03/20/2023,2022
Defense,D,31780,98500,130280,03/20/2023,2022
Energy/Nat Resource,E,230015,363189,593204,03/20/2023,2022
Finance/Insur/RealEst,F,411958,184500,596458,03/20/2023,2022
Health,H,72855,180800,253655,03/20/2023,2022
Lawyers & Lobbyists,K,158364,38875,197239,03/20/2023,2022
Transportation,M,35410,102000,137410,03/20/2023,2022
Misc Business,N,174463,110250,284713,03/20/2023,2022
Labor,P,0,43000,43000,03/20/2023,2022
Ideology/Single-Issue,Q,254630,463749,718379,03/20/2023,2022
Other,W,234680,8500,243180,03/20/2023,2022
