sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,581342,126400,707742,03/20/2023,2022
Communic/Electronics,B,290874,38000,328874,03/20/2023,2022
Construction,C,569329,39500,608829,03/20/2023,2022
Defense,D,53291,21500,74791,03/20/2023,2022
Energy/Nat Resource,E,368743,148000,516743,03/20/2023,2022
Finance/Insur/RealEst,F,2089615,115138,2204753,03/20/2023,2022
Health,H,691452,49100,740552,03/20/2023,2022
Lawyers & Lobbyists,K,717226,32500,749726,03/20/2023,2022
Transportation,M,409016,38000,447016,03/20/2023,2022
Misc Business,N,1175779,162000,1337779,03/20/2023,2022
Labor,P,2055,14500,16555,03/20/2023,2022
Ideology/Single-Issue,Q,2680980,600950,3281930,03/20/2023,2022
Other,W,3979206,0,3979206,03/20/2023,2022
