sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,274743,105500,380243,03/20/2023,2022
Communic/Electronics,B,179782,120280,300062,03/20/2023,2022
Construction,C,386443,64000,450443,03/20/2023,2022
Defense,D,86520,63500,150020,03/20/2023,2022
Energy/Nat Resource,E,282385,267100,549485,03/20/2023,2022
Finance/Insur/RealEst,F,1151257,288500,1439757,03/20/2023,2022
Health,H,678878,286500,965378,03/20/2023,2022
Lawyers & Lobbyists,K,320467,31000,351467,03/20/2023,2022
Transportation,M,309289,117500,426789,03/20/2023,2022
Misc Business,N,640775,119020,759795,03/20/2023,2022
Labor,P,1588,41000,42588,03/20/2023,2022
Ideology/Single-Issue,Q,5994188,83800,6077988,03/20/2023,2022
Other,W,6694110,3500,6697610,03/20/2023,2022
