sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,123230,13300,136530,03/20/2023,2022
Communic/Electronics,B,44902,0,44902,03/20/2023,2022
Construction,C,77891,17500,95391,03/20/2023,2022
Defense,D,3940,2500,6440,03/20/2023,2022
Energy/Nat Resource,E,121248,42400,163648,03/20/2023,2022
Finance/Insur/RealEst,F,631087,40500,671587,03/20/2023,2022
Health,H,86625,12500,99125,03/20/2023,2022
Lawyers & Lobbyists,K,55309,0,55309,03/20/2023,2022
Transportation,M,48820,17000,65820,03/20/2023,2022
Misc Business,N,161052,37000,198052,03/20/2023,2022
Labor,P,0,6000,6000,03/20/2023,2022
Ideology/Single-Issue,Q,307166,375850,683016,03/20/2023,2022
Other,W,595989,0,595989,03/20/2023,2022
