sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,72745,137365,210110,03/20/2023,2022
Communic/Electronics,B,20550,7000,27550,03/20/2023,2022
Construction,C,34380,8500,42880,03/20/2023,2022
Energy/Nat Resource,E,15850,45300,61150,03/20/2023,2022
Finance/Insur/RealEst,F,65732,14500,80232,03/20/2023,2022
Health,H,49400,0,49400,03/20/2023,2022
Lawyers & Lobbyists,K,11070,0,11070,03/20/2023,2022
Transportation,M,5050,0,5050,03/20/2023,2022
Misc Business,N,9050,8500,17550,03/20/2023,2022
Labor,P,0,1000,1000,03/20/2023,2022
Ideology/Single-Issue,Q,58475,68434,126909,03/20/2023,2022
Other,W,116605,0,116605,03/20/2023,2022
