sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,12855,48400,61255,03/20/2023,2022
Communic/Electronics,B,4750,31500,36250,03/20/2023,2022
Construction,C,28625,38000,66625,03/20/2023,2022
Defense,D,0,9500,9500,03/20/2023,2022
Energy/Nat Resource,E,57570,141500,199070,03/20/2023,2022
Finance/Insur/RealEst,F,107765,206250,314015,03/20/2023,2022
Health,H,36274,98500,134774,03/20/2023,2022
Lawyers & Lobbyists,K,81459,9500,90959,03/20/2023,2022
Transportation,M,46825,64500,111325,03/20/2023,2022
Misc Business,N,132230,120500,252730,03/20/2023,2022
Labor,P,0,19000,19000,03/20/2023,2022
Ideology/Single-Issue,Q,12250,61900,74150,03/20/2023,2022
Other,W,93684,1000,94684,03/20/2023,2022
