sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,10825,37000,47825,03/20/2023,2022
Communic/Electronics,B,3756,88000,91756,03/20/2023,2022
Construction,C,2750,9500,12250,03/20/2023,2022
Defense,D,0,9500,9500,03/20/2023,2022
Energy/Nat Resource,E,5800,45000,50800,03/20/2023,2022
Finance/Insur/RealEst,F,75500,127000,202500,03/20/2023,2022
Health,H,9710,191000,200710,03/20/2023,2022
Lawyers & Lobbyists,K,88078,24500,112578,03/20/2023,2022
Transportation,M,0,33000,33000,03/20/2023,2022
Misc Business,N,39037,71500,110537,03/20/2023,2022
Labor,P,0,138000,138000,03/20/2023,2022
Ideology/Single-Issue,Q,111700,61312,173012,03/20/2023,2022
Other,W,40000,2500,42500,03/20/2023,2022
