sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,12300,56750,69050,03/20/2023,2022
Communic/Electronics,B,11581,26000,37581,03/20/2023,2022
Construction,C,20731,21000,41731,03/20/2023,2022
Defense,D,8770,9000,17770,03/20/2023,2022
Energy/Nat Resource,E,10450,33500,43950,03/20/2023,2022
Finance/Insur/RealEst,F,95010,22000,117010,03/20/2023,2022
Health,H,144761,177282,322043,03/20/2023,2022
Lawyers & Lobbyists,K,84400,10000,94400,03/20/2023,2022
Transportation,M,9250,32000,41250,03/20/2023,2022
Misc Business,N,78730,16500,95230,03/20/2023,2022
Ideology/Single-Issue,Q,76467,152200,228667,03/20/2023,2022
Other,W,126982,0,126982,03/20/2023,2022
