sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,4025,2999,7024,03/20/2023,2022
Communic/Electronics,B,6997,49000,55997,03/20/2023,2022
Construction,C,450,7500,7950,03/20/2023,2022
Defense,D,0,31000,31000,03/20/2023,2022
Energy/Nat Resource,E,15126,8000,23126,03/20/2023,2022
Finance/Insur/RealEst,F,187780,605000,792780,03/20/2023,2022
Health,H,17565,20500,38065,03/20/2023,2022
Lawyers & Lobbyists,K,44976,18000,62976,03/20/2023,2022
Transportation,M,250,16000,16250,03/20/2023,2022
Misc Business,N,26325,58682,85007,03/20/2023,2022
Labor,P,750,58500,59250,03/20/2023,2022
Ideology/Single-Issue,Q,71125,20304,91429,03/20/2023,2022
Other,W,124668,0,124668,03/20/2023,2022
