sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,37610,48000,85610,03/20/2023,2022
Communic/Electronics,B,294689,235600,530289,03/20/2023,2022
Construction,C,37378,111400,148778,03/20/2023,2022
Defense,D,6,27500,27506,03/20/2023,2022
Energy/Nat Resource,E,35765,37000,72765,03/20/2023,2022
Finance/Insur/RealEst,F,826162,618100,1444262,03/20/2023,2022
Health,H,102571,126000,228571,03/20/2023,2022
Lawyers & Lobbyists,K,504981,64000,568981,03/20/2023,2022
Transportation,M,17779,147900,165679,03/20/2023,2022
Misc Business,N,251129,193000,444129,03/20/2023,2022
Labor,P,5235,349947,355182,03/20/2023,2022
Ideology/Single-Issue,Q,695399,112700,808099,03/20/2023,2022
Other,W,356727,7000,363727,03/20/2023,2022
