sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,1050,24940,25990,03/20/2023,2022
Communic/Electronics,B,8750,17500,26250,03/20/2023,2022
Construction,C,3125,5800,8925,03/20/2023,2022
Defense,D,350,0,350,03/20/2023,2022
Energy/Nat Resource,E,0,32000,32000,03/20/2023,2022
Finance/Insur/RealEst,F,12922,105500,118422,03/20/2023,2022
Health,H,51603,58400,110003,03/20/2023,2022
Lawyers & Lobbyists,K,28700,5000,33700,03/20/2023,2022
Transportation,M,0,14500,14500,03/20/2023,2022
Misc Business,N,16850,52000,68850,03/20/2023,2022
Labor,P,100,114400,114500,03/20/2023,2022
Ideology/Single-Issue,Q,5050,57012,62062,03/20/2023,2022
Other,W,34890,3300,38190,03/20/2023,2022
