sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,63300,19500,82800,03/20/2023,2022
Communic/Electronics,B,49100,111500,160600,03/20/2023,2022
Construction,C,42566,57500,100066,03/20/2023,2022
Defense,D,9500,97500,107000,03/20/2023,2022
Energy/Nat Resource,E,15100,83000,98100,03/20/2023,2022
Finance/Insur/RealEst,F,484407,194000,678407,03/20/2023,2022
Health,H,69801,40000,109801,03/20/2023,2022
Lawyers & Lobbyists,K,93850,22250,116100,03/20/2023,2022
Transportation,M,20541,156500,177041,03/20/2023,2022
Misc Business,N,113814,67500,181314,03/20/2023,2022
Labor,P,300,66500,66800,03/20/2023,2022
Ideology/Single-Issue,Q,114835,184029,298864,03/20/2023,2022
Other,W,488956,0,488956,03/20/2023,2022
