sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,11675,30500,42175,03/20/2023,2022
Communic/Electronics,B,2100,10000,12100,03/20/2023,2022
Construction,C,6601,38000,44601,03/20/2023,2022
Defense,D,0,6500,6500,03/20/2023,2022
Energy/Nat Resource,E,7800,18500,26300,03/20/2023,2022
Finance/Insur/RealEst,F,97090,18000,115090,03/20/2023,2022
Health,H,8803,9500,18303,03/20/2023,2022
Lawyers & Lobbyists,K,24900,8500,33400,03/20/2023,2022
Transportation,M,5575,28000,33575,03/20/2023,2022
Misc Business,N,33250,3000,36250,03/20/2023,2022
Labor,P,0,6500,6500,03/20/2023,2022
Ideology/Single-Issue,Q,17060,98700,115760,03/20/2023,2022
Other,W,87577,0,87577,03/20/2023,2022
