sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,22050,571500,593550,03/20/2023,2022
Communic/Electronics,B,500,63740,64240,03/20/2023,2022
Construction,C,500,15000,15500,03/20/2023,2022
Defense,D,0,7000,7000,03/20/2023,2022
Energy/Nat Resource,E,2000,66000,68000,03/20/2023,2022
Finance/Insur/RealEst,F,40410,515700,556110,03/20/2023,2022
Health,H,16550,78000,94550,03/20/2023,2022
Lawyers & Lobbyists,K,30400,31749,62149,03/20/2023,2022
Transportation,M,1500,31000,32500,03/20/2023,2022
Misc Business,N,16650,106025,122675,03/20/2023,2022
Labor,P,0,129000,129000,03/20/2023,2022
Ideology/Single-Issue,Q,136100,88912,225012,03/20/2023,2022
Other,W,17850,2000,19850,03/20/2023,2022
