org_name,total,pacs,indivs,cycle,source,cid
Club for Growth,353735,2850,350885,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039551&cycle=2022,N00039551
Senate Conservatives Fund,210695,10000,200695,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039551&cycle=2022,N00039551
National Republican Senatorial Cmte,51200,51200,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039551&cycle=2022,N00039551
Rdv Corp,40600,0,40600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039551&cycle=2022,N00039551
Saulsbury Industries,30100,0,30100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039551&cycle=2022,N00039551
Truist Financial,28730,10000,18730,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039551&cycle=2022,N00039551
Old Dominion Freight Line,26333,5000,21333,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039551&cycle=2022,N00039551
Budd Group,25700,0,25700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039551&cycle=2022,N00039551
Blackstone Group,23200,0,23200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039551&cycle=2022,N00039551
Brighthouse Financial,22700,0,22700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039551&cycle=2022,N00039551
