org_name,total,pacs,indivs,cycle,source,cid
Apollo Global Management,21700,0,21700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035347&cycle=2022,N00035347
American Israel Public Affairs Cmte,17900,7900,10000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035347&cycle=2022,N00035347
Lockheed Martin,10500,10000,500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035347&cycle=2022,N00035347
Credit Union National Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035347&cycle=2022,N00035347
Ernst & Young,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035347&cycle=2022,N00035347
Mortgage Bankers Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035347&cycle=2022,N00035347
National Apartment Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035347&cycle=2022,N00035347
National Assn of Insurance & Financial Advisors,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035347&cycle=2022,N00035347
National Assn of Realtors,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035347&cycle=2022,N00035347
National Auto Dealers Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035347&cycle=2022,N00035347
