org_name,total,pacs,indivs,cycle,source,cid
Nucor Corp,11750,10000,1750,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030770&cycle=2020,N00030770
American Bankers Assn,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030770&cycle=2020,N00030770
American Council of Engineering Cos,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030770&cycle=2020,N00030770
American Crystal Sugar,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030770&cycle=2020,N00030770
CSX Corp,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030770&cycle=2020,N00030770
Farm Credit Council,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030770&cycle=2020,N00030770
Huck PAC,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030770&cycle=2020,N00030770
Majority Cmte PAC,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030770&cycle=2020,N00030770
National Assn of Realtors,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030770&cycle=2020,N00030770
National Cotton Council,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030770&cycle=2020,N00030770
