org_name,total,pacs,indivs,cycle,source,cid
Senate Conservatives Fund,107333,5000,102333,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00048414&cycle=2022,N00048414
Herzog,52200,0,52200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00048414&cycle=2022,N00048414
National Republican Senatorial Cmte,51200,51200,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00048414&cycle=2022,N00048414
Burns & McDonnell,38150,2500,35650,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00048414&cycle=2022,N00048414
Husch Blackwell LLP,35800,7500,28300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00048414&cycle=2022,N00048414
Diamond Pet Foods,31900,0,31900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00048414&cycle=2022,N00048414
NorPAC,23700,0,23700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00048414&cycle=2022,N00048414
Ketchmark & McCreight,23200,0,23200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00048414&cycle=2022,N00048414
Rdv Corp,23200,0,23200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00048414&cycle=2022,N00048414
Crossland Construction,22300,0,22300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00048414&cycle=2022,N00048414
