org_name,total,pacs,indivs,cycle,source,cid
Votesane PAC,105600,0,105600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035483&cycle=2022,N00035483
Apollo Global Management,57550,0,57550,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035483&cycle=2022,N00035483
Duty Free Americas,54200,0,54200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035483&cycle=2022,N00035483
Raytheon Technologies,51064,6500,44564,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035483&cycle=2022,N00035483
Blackstone Group,51000,0,51000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035483&cycle=2022,N00035483
National Republican Senatorial Cmte,44600,44600,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035483&cycle=2022,N00035483
NextEra Energy,33425,9000,24425,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035483&cycle=2022,N00035483
Elliott Management,32700,0,32700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035483&cycle=2022,N00035483
Republican Jewish Coalition,31752,7003,24749,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035483&cycle=2022,N00035483
Susan B Anthony List,31735,4000,27735,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00035483&cycle=2022,N00035483
