org_name,total,pacs,indivs,cycle,source,cid
JRM Hauling & Recycling,16100,0,16100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00013855&cycle=2022,N00013855
Tavern In the Square,14500,0,14500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00013855&cycle=2022,N00013855
Winn Companies,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00013855&cycle=2022,N00013855
John Moriarty & Assoc,10700,0,10700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00013855&cycle=2022,N00013855
Air Line Pilots Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00013855&cycle=2022,N00013855
American Federation of State/Cnty/Munic Employees,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00013855&cycle=2022,N00013855
International Assn of Fire Fighters,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00013855&cycle=2022,N00013855
Machinists/Aerospace Workers Union,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00013855&cycle=2022,N00013855
National Assn of Insurance & Financial Advisors,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00013855&cycle=2022,N00013855
National Assn of Letter Carriers,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00013855&cycle=2022,N00013855
