org_name,total,pacs,indivs,cycle,source,cid
Senate Conservatives Fund,146748,0,146748,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029788&cycle=2022,N00029788
Club for Growth,139288,0,139288,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029788&cycle=2022,N00029788
Multicoin Capital,26100,0,26100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029788&cycle=2022,N00029788
Sinclair Companies,16900,0,16900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029788&cycle=2022,N00029788
Bluegrass Cmte,15000,15000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029788&cycle=2022,N00029788
Common Values PAC,15000,15000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029788&cycle=2022,N00029788
Lead Encourage Elect PAC,15000,15000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029788&cycle=2022,N00029788
National Assn of Convenience Stores,15000,15000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029788&cycle=2022,N00029788
Vaneck,12700,0,12700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029788&cycle=2022,N00029788
Andreessen Horowitz,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00029788&cycle=2022,N00029788
