org_name,total,pacs,indivs,cycle,source,cid
General Dynamics,39625,10000,29625,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00024842&cycle=2022,N00024842
Electric Boat Corp,24150,0,24150,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00024842&cycle=2022,N00024842
JStreetPAC,18150,4500,13650,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00024842&cycle=2022,N00024842
Cross Sound Ferry,17400,0,17400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00024842&cycle=2022,N00024842
American Israel Public Affairs Cmte,16900,7900,9000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00024842&cycle=2022,N00024842
Athena Health Care Systems,16700,0,16700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00024842&cycle=2022,N00024842
Frontline USA,12900,10000,2900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00024842&cycle=2022,N00024842
Northlane Capital Partners,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00024842&cycle=2022,N00024842
American Assn for Justice,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00024842&cycle=2022,N00024842
American Federation of State/Cnty/Munic Employees,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00024842&cycle=2022,N00024842
