org_name,total,pacs,indivs,cycle,source,cid
Holland & Hart,43550,2500,41050,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040876&cycle=2022,N00040876
JStreetPAC,23725,3000,20725,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040876&cycle=2022,N00040876
American Israel Public Affairs Cmte,22300,10000,12300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040876&cycle=2022,N00040876
"Brownstein, Hyatt et al",15850,0,15850,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040876&cycle=2022,N00040876
DISH Network,14150,0,14150,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040876&cycle=2022,N00040876
University of Colorado,13424,0,13424,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040876&cycle=2022,N00040876
Palantir Technologies,12525,0,12525,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040876&cycle=2022,N00040876
Sallyport Investments,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040876&cycle=2022,N00040876
Haberfeld Assoc,11400,0,11400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040876&cycle=2022,N00040876
Considered Media,11200,0,11200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040876&cycle=2022,N00040876
