sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,51324,2000,53324,03/20/2023,2022
Communic/Electronics,B,34966,4000,38966,03/20/2023,2022
Construction,C,90997,35000,125997,03/20/2023,2022
Defense,D,17910,0,17910,03/20/2023,2022
Energy/Nat Resource,E,43995,56500,100495,03/20/2023,2022
Finance/Insur/RealEst,F,560136,39500,599636,03/20/2023,2022
Health,H,80405,0,80405,03/20/2023,2022
Lawyers & Lobbyists,K,102101,2500,104601,03/20/2023,2022
Transportation,M,131197,17000,148197,03/20/2023,2022
Misc Business,N,136755,23000,159755,03/20/2023,2022
Ideology/Single-Issue,Q,84725,353250,437975,03/20/2023,2022
Other,W,611800,0,611800,03/20/2023,2022
