sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,1500,25500,27000,03/20/2023,2022
Communic/Electronics,B,6738,42700,49438,03/20/2023,2022
Construction,C,15500,28500,44000,03/20/2023,2022
Defense,D,2450,44500,46950,03/20/2023,2022
Energy/Nat Resource,E,34700,37000,71700,03/20/2023,2022
Finance/Insur/RealEst,F,80800,423900,504700,03/20/2023,2022
Health,H,32014,149150,181164,03/20/2023,2022
Lawyers & Lobbyists,K,69400,34047,103447,03/20/2023,2022
Transportation,M,7500,53500,61000,03/20/2023,2022
Misc Business,N,49000,83100,132100,03/20/2023,2022
Labor,P,250,139500,139750,03/20/2023,2022
Ideology/Single-Issue,Q,12000,99262,111262,03/20/2023,2022
Other,W,55444,0,55444,03/20/2023,2022
