sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,8804,88000,96804,03/20/2023,2022
Communic/Electronics,B,4400,43500,47900,03/20/2023,2022
Construction,C,50602,64000,114602,03/20/2023,2022
Defense,D,0,22000,22000,03/20/2023,2022
Energy/Nat Resource,E,99016,75500,174516,03/20/2023,2022
Finance/Insur/RealEst,F,118164,214400,332564,03/20/2023,2022
Health,H,67523,125750,193273,03/20/2023,2022
Lawyers & Lobbyists,K,47550,7250,54800,03/20/2023,2022
Transportation,M,43300,108500,151800,03/20/2023,2022
Misc Business,N,103699,52000,155699,03/20/2023,2022
Labor,P,0,18500,18500,03/20/2023,2022
Ideology/Single-Issue,Q,32300,71650,103950,03/20/2023,2022
Other,W,130077,0,130077,03/20/2023,2022
