sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,3755,20000,23755,06/10/2019,2018
Communic/Electronics,B,38657,25000,63657,06/10/2019,2018
Construction,C,10885,29000,39885,06/10/2019,2018
Defense,D,0,8000,8000,06/10/2019,2018
Energy/Nat Resource,E,14900,1000,15900,06/10/2019,2018
Finance/Insur/RealEst,F,301290,494900,796190,06/10/2019,2018
Health,H,24687,36500,61187,06/10/2019,2018
Lawyers & Lobbyists,K,110059,26500,136559,06/10/2019,2018
Transportation,M,2775,10500,13275,06/10/2019,2018
Misc Business,N,87195,18500,105695,06/10/2019,2018
Labor,P,2500,164150,166650,06/10/2019,2018
Ideology/Single-Issue,Q,162035,55579,217614,06/10/2019,2018
Other,W,138161,-500,137661,06/10/2019,2018
