sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,13523,26500,40023,06/10/2019,2018
Communic/Electronics,B,100224,25500,125724,06/10/2019,2018
Construction,C,24382,30000,54382,06/10/2019,2018
Defense,D,37,10000,10037,06/10/2019,2018
Energy/Nat Resource,E,1121,4000,5121,06/10/2019,2018
Finance/Insur/RealEst,F,456529,232000,688529,06/10/2019,2018
Health,H,69990,50000,119990,06/10/2019,2018
Lawyers & Lobbyists,K,224664,21400,246064,06/10/2019,2018
Transportation,M,35,68000,68035,06/10/2019,2018
Misc Business,N,128789,46457,175246,06/10/2019,2018
Labor,P,59,175166,175225,06/10/2019,2018
Ideology/Single-Issue,Q,98039,138428,236467,06/10/2019,2018
Other,W,214584,0,214584,06/10/2019,2018
