sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,5900,20000,25900,03/20/2023,2022
Communic/Electronics,B,4850,10000,14850,03/20/2023,2022
Construction,C,1551,6000,7551,03/20/2023,2022
Energy/Nat Resource,E,3250,29000,32250,03/20/2023,2022
Finance/Insur/RealEst,F,22905,18000,40905,03/20/2023,2022
Health,H,17265,30500,47765,03/20/2023,2022
Lawyers & Lobbyists,K,32745,19400,52145,03/20/2023,2022
Transportation,M,1500,51250,52750,03/20/2023,2022
Misc Business,N,82256,14500,96756,03/20/2023,2022
Labor,P,0,156420,156420,03/20/2023,2022
Ideology/Single-Issue,Q,59767,45462,105229,03/20/2023,2022
Other,W,143507,3000,146507,03/20/2023,2022
