sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,92975,7000,99975,03/20/2023,2022
Communic/Electronics,B,671916,77822,749738,03/20/2023,2022
Construction,C,158310,6500,164810,03/20/2023,2022
Defense,D,47224,52500,99724,03/20/2023,2022
Energy/Nat Resource,E,58702,43000,101702,03/20/2023,2022
Finance/Insur/RealEst,F,1509535,311500,1821035,03/20/2023,2022
Health,H,621084,265000,886084,03/20/2023,2022
Lawyers & Lobbyists,K,1337069,41250,1378319,03/20/2023,2022
Transportation,M,40255,55500,95755,03/20/2023,2022
Misc Business,N,675436,88321,763757,03/20/2023,2022
Labor,P,11252,121500,132752,03/20/2023,2022
Ideology/Single-Issue,Q,494796,308167,802963,03/20/2023,2022
Other,W,2870062,3000,2873062,03/20/2023,2022
