sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,500,23000,23500,03/20/2023,2022
Communic/Electronics,B,8275,118900,127175,03/20/2023,2022
Construction,C,9400,9500,18900,03/20/2023,2022
Defense,D,1500,12500,14000,03/20/2023,2022
Energy/Nat Resource,E,2500,86500,89000,03/20/2023,2022
Finance/Insur/RealEst,F,21600,136500,158100,03/20/2023,2022
Health,H,9100,373500,382600,03/20/2023,2022
Lawyers & Lobbyists,K,70163,27000,97163,03/20/2023,2022
Transportation,M,11800,51000,62800,03/20/2023,2022
Misc Business,N,61820,101000,162820,03/20/2023,2022
Labor,P,2500,138500,141000,03/20/2023,2022
Ideology/Single-Issue,Q,72600,59512,132112,03/20/2023,2022
Other,W,22719,2000,24719,03/20/2023,2022
