sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,60385,38500,98885,03/20/2023,2022
Communic/Electronics,B,13200,26000,39200,03/20/2023,2022
Construction,C,23300,38500,61800,03/20/2023,2022
Defense,D,3000,3000,6000,03/20/2023,2022
Energy/Nat Resource,E,108841,21000,129841,03/20/2023,2022
Finance/Insur/RealEst,F,207248,52900,260148,03/20/2023,2022
Health,H,28318,20500,48818,03/20/2023,2022
Lawyers & Lobbyists,K,41900,2000,43900,03/20/2023,2022
Transportation,M,25248,41000,66248,03/20/2023,2022
Misc Business,N,174495,23000,197495,03/20/2023,2022
Labor,P,2900,8500,11400,03/20/2023,2022
Ideology/Single-Issue,Q,13273,101800,115073,03/20/2023,2022
Other,W,139839,0,139839,03/20/2023,2022
