sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,1300,2000,3300,03/20/2023,2022
Communic/Electronics,B,27324,2500,29824,03/20/2023,2022
Construction,C,2000,2500,4500,03/20/2023,2022
Energy/Nat Resource,E,6700,3000,9700,03/20/2023,2022
Finance/Insur/RealEst,F,40625,18000,58625,03/20/2023,2022
Health,H,23399,12000,35399,03/20/2023,2022
Lawyers & Lobbyists,K,11055,6500,17555,03/20/2023,2022
Transportation,M,1025,0,1025,03/20/2023,2022
Misc Business,N,16300,5000,21300,03/20/2023,2022
Labor,P,0,56500,56500,03/20/2023,2022
Ideology/Single-Issue,Q,426205,143513,569718,03/20/2023,2022
Other,W,182705,1000,183705,03/20/2023,2022
