sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,12545,126500,139045,03/20/2023,2022
Communic/Electronics,B,54806,176000,230806,03/20/2023,2022
Construction,C,10980,77900,88880,03/20/2023,2022
Defense,D,150,43000,43150,03/20/2023,2022
Energy/Nat Resource,E,10253,196500,206753,03/20/2023,2022
Finance/Insur/RealEst,F,204550,408500,613050,03/20/2023,2022
Health,H,92210,239000,331210,03/20/2023,2022
Lawyers & Lobbyists,K,237325,84900,322225,03/20/2023,2022
Transportation,M,10355,137000,147355,03/20/2023,2022
Misc Business,N,117938,209058,326996,03/20/2023,2022
Labor,P,3,244000,244003,03/20/2023,2022
Ideology/Single-Issue,Q,88274,64400,152674,03/20/2023,2022
Other,W,172969,4000,176969,03/20/2023,2022
