sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,56275,94000,150275,03/20/2023,2022
Communic/Electronics,B,238596,198000,436596,03/20/2023,2022
Construction,C,112019,51200,163219,03/20/2023,2022
Defense,D,59563,133900,193463,03/20/2023,2022
Energy/Nat Resource,E,42977,80000,122977,03/20/2023,2022
Finance/Insur/RealEst,F,868856,217500,1086356,03/20/2023,2022
Health,H,429986,258000,687986,03/20/2023,2022
Lawyers & Lobbyists,K,1592805,91500,1684305,03/20/2023,2022
Transportation,M,113097,147500,260597,03/20/2023,2022
Misc Business,N,368598,237000,605598,03/20/2023,2022
Labor,P,36552,277750,314302,03/20/2023,2022
Ideology/Single-Issue,Q,491736,298282,790018,03/20/2023,2022
Other,W,1560485,10600,1571085,03/20/2023,2022
