sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,11800,10150,21950,06/10/2019,2018
Communic/Electronics,B,72969,57000,129969,06/10/2019,2018
Construction,C,16551,2750,19301,06/10/2019,2018
Defense,D,1175,7000,8175,06/10/2019,2018
Energy/Nat Resource,E,2900,10000,12900,06/10/2019,2018
Finance/Insur/RealEst,F,59334,48000,107334,06/10/2019,2018
Health,H,19651,35000,54651,06/10/2019,2018
Lawyers & Lobbyists,K,56063,18434,74497,06/10/2019,2018
Transportation,M,700,30000,30700,06/10/2019,2018
Misc Business,N,52521,42500,95021,06/10/2019,2018
Labor,P,250,94200,94450,06/10/2019,2018
Ideology/Single-Issue,Q,29675,29800,59475,06/10/2019,2018
Other,W,64003,1000,65003,06/10/2019,2018
