sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,970799,289500,1260299,03/20/2023,2022
Communic/Electronics,B,936316,266290,1202606,03/20/2023,2022
Construction,C,1305174,185600,1490774,03/20/2023,2022
Defense,D,166167,164500,330667,03/20/2023,2022
Energy/Nat Resource,E,854794,414800,1269594,03/20/2023,2022
Finance/Insur/RealEst,F,5426643,1048799,6475442,03/20/2023,2022
Health,H,2907289,812999,3720288,03/20/2023,2022
Lawyers & Lobbyists,K,1741142,175350,1916492,03/20/2023,2022
Transportation,M,1084092,272395,1356487,03/20/2023,2022
Misc Business,N,3116530,571961,3688491,03/20/2023,2022
Labor,P,10301,36000,46301,03/20/2023,2022
Ideology/Single-Issue,Q,1912276,785849,2698125,03/20/2023,2022
Other,W,25958080,16600,25974680,03/20/2023,2022
