sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,383300,232500,615800,06/10/2019,2018
Communic/Electronics,B,391758,263000,654758,06/10/2019,2018
Construction,C,669345,166600,835945,06/10/2019,2018
Defense,D,35853,77600,113453,06/10/2019,2018
Energy/Nat Resource,E,704447,477200,1181647,06/10/2019,2018
Finance/Insur/RealEst,F,4572427,1565638,6138065,06/10/2019,2018
Health,H,1090222,708370,1798592,06/10/2019,2018
Lawyers & Lobbyists,K,1451122,255271,1706393,06/10/2019,2018
Transportation,M,369256,184665,553921,06/10/2019,2018
Misc Business,N,1566299,706424,2272723,06/10/2019,2018
Labor,P,3400,45000,48400,06/10/2019,2018
Ideology/Single-Issue,Q,1629316,952739,2582055,06/10/2019,2018
Other,W,3030997,13200,3044197,06/10/2019,2018
