sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,338419,107250,445669,03/20/2023,2022
Communic/Electronics,B,128615,29500,158115,03/20/2023,2022
Construction,C,494424,45000,539424,03/20/2023,2022
Defense,D,13010,17500,30510,03/20/2023,2022
Energy/Nat Resource,E,312305,140500,452805,03/20/2023,2022
Finance/Insur/RealEst,F,1267677,135438,1403115,03/20/2023,2022
Health,H,432638,113150,545788,03/20/2023,2022
Lawyers & Lobbyists,K,321081,33865,354946,03/20/2023,2022
Transportation,M,356104,91000,447104,03/20/2023,2022
Misc Business,N,683163,129050,812213,03/20/2023,2022
Labor,P,205,7500,7705,03/20/2023,2022
Ideology/Single-Issue,Q,671485,374049,1045534,03/20/2023,2022
Other,W,1255322,7500,1262822,03/20/2023,2022
