sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,162276,213000,375276,06/10/2019,2018
Communic/Electronics,B,923989,253300,1177289,06/10/2019,2018
Construction,C,391634,73500,465134,06/10/2019,2018
Defense,D,91565,55000,146565,06/10/2019,2018
Energy/Nat Resource,E,310444,144295,454739,06/10/2019,2018
Finance/Insur/RealEst,F,3103793,599150,3702943,06/10/2019,2018
Health,H,1682136,824819,2506955,06/10/2019,2018
Lawyers & Lobbyists,K,5130562,211643,5342205,06/10/2019,2018
Transportation,M,204369,149200,353569,06/10/2019,2018
Misc Business,N,1429449,324126,1753575,06/10/2019,2018
Labor,P,75593,322249,397842,06/10/2019,2018
Ideology/Single-Issue,Q,996325,610755,1607080,06/10/2019,2018
Other,W,3613544,15750,3629294,06/10/2019,2018
