sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,23856,5100,28956,06/10/2019,2018
Communic/Electronics,B,347444,8500,355944,06/10/2019,2018
Construction,C,69739,0,69739,06/10/2019,2018
Defense,D,1068,0,1068,06/10/2019,2018
Energy/Nat Resource,E,23674,28500,52174,06/10/2019,2018
Finance/Insur/RealEst,F,937381,24000,961381,06/10/2019,2018
Health,H,168122,24000,192122,06/10/2019,2018
Lawyers & Lobbyists,K,336296,16000,352296,06/10/2019,2018
Transportation,M,16023,2000,18023,06/10/2019,2018
Misc Business,N,401825,36000,437825,06/10/2019,2018
Labor,P,3118,190500,193618,06/10/2019,2018
Ideology/Single-Issue,Q,447270,465460,912730,06/10/2019,2018
Other,W,651981,0,651981,06/10/2019,2018
