sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,43817,128250,172067,06/10/2019,2018
Communic/Electronics,B,14700,15780,30480,06/10/2019,2018
Construction,C,13750,31500,45250,06/10/2019,2018
Defense,D,0,6000,6000,06/10/2019,2018
Energy/Nat Resource,E,3250,28000,31250,06/10/2019,2018
Finance/Insur/RealEst,F,17617,38000,55617,06/10/2019,2018
Health,H,13900,29750,43650,06/10/2019,2018
Lawyers & Lobbyists,K,28884,6250,35134,06/10/2019,2018
Transportation,M,5000,46500,51500,06/10/2019,2018
Misc Business,N,19014,52220,71234,06/10/2019,2018
Labor,P,0,8000,8000,06/10/2019,2018
Ideology/Single-Issue,Q,5000,44316,49316,06/10/2019,2018
Other,W,16575,2000,18575,06/10/2019,2018
