sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,12193,0,12193,06/10/2019,2018
Communic/Electronics,B,33906,13500,47406,06/10/2019,2018
Construction,C,44667,12500,57167,06/10/2019,2018
Defense,D,8934,1000,9934,06/10/2019,2018
Energy/Nat Resource,E,14581,15000,29581,06/10/2019,2018
Finance/Insur/RealEst,F,320520,27000,347520,06/10/2019,2018
Health,H,104578,17000,121578,06/10/2019,2018
Lawyers & Lobbyists,K,227124,12500,239624,06/10/2019,2018
Transportation,M,28074,19500,47574,06/10/2019,2018
Misc Business,N,187877,18500,206377,06/10/2019,2018
Labor,P,2,121500,121502,06/10/2019,2018
Ideology/Single-Issue,Q,78700,164546,243246,06/10/2019,2018
Other,W,243124,3500,246624,06/10/2019,2018
