sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,6800,19500,26300,06/10/2019,2018
Communic/Electronics,B,500,48000,48500,06/10/2019,2018
Construction,C,15200,15500,30700,06/10/2019,2018
Defense,D,2700,6000,8700,06/10/2019,2018
Energy/Nat Resource,E,20150,58700,78850,06/10/2019,2018
Finance/Insur/RealEst,F,24156,46150,70306,06/10/2019,2018
Health,H,63908,346356,410264,06/10/2019,2018
Lawyers & Lobbyists,K,27338,20000,47338,06/10/2019,2018
Transportation,M,11100,40000,51100,06/10/2019,2018
Misc Business,N,19062,39500,58562,06/10/2019,2018
Labor,P,0,23500,23500,06/10/2019,2018
Ideology/Single-Issue,Q,3000,52500,55500,06/10/2019,2018
Other,W,9650,0,9650,06/10/2019,2018
