sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,326124,163000,489124,03/20/2023,2022
Communic/Electronics,B,562056,222500,784556,03/20/2023,2022
Construction,C,463123,169050,632173,03/20/2023,2022
Defense,D,101733,105500,207233,03/20/2023,2022
Energy/Nat Resource,E,398779,219200,617979,03/20/2023,2022
Finance/Insur/RealEst,F,3966569,665450,4632019,03/20/2023,2022
Health,H,827765,596850,1424615,03/20/2023,2022
Lawyers & Lobbyists,K,1019042,127600,1146642,03/20/2023,2022
Transportation,M,431512,363095,794607,03/20/2023,2022
Misc Business,N,1172444,393999,1566443,03/20/2023,2022
Labor,P,1477,90000,91477,03/20/2023,2022
Ideology/Single-Issue,Q,1000662,780091,1780753,03/20/2023,2022
Other,W,7244168,16000,7260168,03/20/2023,2022
