sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,59241,22000,81241,03/20/2023,2022
Communic/Electronics,B,97054,90000,187054,03/20/2023,2022
Construction,C,85822,39000,124822,03/20/2023,2022
Defense,D,8946,13500,22446,03/20/2023,2022
Energy/Nat Resource,E,40457,73000,113457,03/20/2023,2022
Finance/Insur/RealEst,F,724064,494500,1218564,03/20/2023,2022
Health,H,118991,74000,192991,03/20/2023,2022
Lawyers & Lobbyists,K,113099,7000,120099,03/20/2023,2022
Transportation,M,63288,69500,132788,03/20/2023,2022
Misc Business,N,291179,98000,389179,03/20/2023,2022
Labor,P,0,16500,16500,03/20/2023,2022
Ideology/Single-Issue,Q,691631,621642,1313273,03/20/2023,2022
Other,W,1665501,1000,1666501,03/20/2023,2022
