sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,2500,12000,14500,03/20/2023,2022
Communic/Electronics,B,9500,18000,27500,03/20/2023,2022
Construction,C,3000,0,3000,03/20/2023,2022
Defense,D,0,2000,2000,03/20/2023,2022
Energy/Nat Resource,E,300,5000,5300,03/20/2023,2022
Finance/Insur/RealEst,F,18850,35000,53850,03/20/2023,2022
Health,H,11520,20000,31520,03/20/2023,2022
Lawyers & Lobbyists,K,23200,14000,37200,03/20/2023,2022
Transportation,M,17350,56000,73350,03/20/2023,2022
Misc Business,N,4700,14000,18700,03/20/2023,2022
Labor,P,0,154500,154500,03/20/2023,2022
Ideology/Single-Issue,Q,-1000,25012,24012,03/20/2023,2022
Other,W,38875,2500,41375,03/20/2023,2022
