sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,500,12500,13000,06/10/2019,2018
Communic/Electronics,B,350,34635,34985,06/10/2019,2018
Construction,C,700,4000,4700,06/10/2019,2018
Defense,D,0,2000,2000,06/10/2019,2018
Energy/Nat Resource,E,1000,37500,38500,06/10/2019,2018
Finance/Insur/RealEst,F,2971,28000,30971,06/10/2019,2018
Health,H,4850,41400,46250,06/10/2019,2018
Lawyers & Lobbyists,K,27850,12300,40150,06/10/2019,2018
Transportation,M,0,46499,46499,06/10/2019,2018
Misc Business,N,2950,8000,10950,06/10/2019,2018
Labor,P,1250,148600,149850,06/10/2019,2018
Ideology/Single-Issue,Q,3124,8550,11674,06/10/2019,2018
Other,W,12924,0,12924,06/10/2019,2018
