sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,12700,126407,139107,06/10/2019,2018
Communic/Electronics,B,4500,42500,47000,06/10/2019,2018
Construction,C,12550,26000,38550,06/10/2019,2018
Defense,D,800,18000,18800,06/10/2019,2018
Energy/Nat Resource,E,8757,58500,67257,06/10/2019,2018
Finance/Insur/RealEst,F,62875,109500,172375,06/10/2019,2018
Health,H,58000,53500,111500,06/10/2019,2018
Lawyers & Lobbyists,K,54283,19750,74033,06/10/2019,2018
Transportation,M,4500,37000,41500,06/10/2019,2018
Misc Business,N,50951,47500,98451,06/10/2019,2018
Labor,P,0,106500,106500,06/10/2019,2018
Ideology/Single-Issue,Q,1250,28093,29343,06/10/2019,2018
Other,W,20351,0,20351,06/10/2019,2018
