sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,28090,38000,66090,03/20/2023,2022
Communic/Electronics,B,22175,224400,246575,03/20/2023,2022
Construction,C,22682,28500,51182,03/20/2023,2022
Defense,D,15,5000,5015,03/20/2023,2022
Energy/Nat Resource,E,13628,176500,190128,03/20/2023,2022
Finance/Insur/RealEst,F,29030,123000,152030,03/20/2023,2022
Health,H,19526,161500,181026,03/20/2023,2022
Lawyers & Lobbyists,K,44749,10000,54749,03/20/2023,2022
Transportation,M,9252,65000,74252,03/20/2023,2022
Misc Business,N,31619,96500,128119,03/20/2023,2022
Labor,P,0,7500,7500,03/20/2023,2022
Ideology/Single-Issue,Q,42250,50900,93150,03/20/2023,2022
Other,W,72685,1000,73685,03/20/2023,2022
